Task,Dataset,Cohort,TaskType,Method,Budget,MeanJaccard,SDJaccard,MedianJaccard,MinJaccard,MaxJaccard,PairCount,Repeats,Folds
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,MutualInfo,5,0.15307884677680594,0.1270692491544321,0.14285714285714285,0.0,1.0,6125,50,5
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,Lasso,5,0.1410509880142533,0.12222167827195726,0.1111111111111111,0.0,1.0,6125,50,5
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,RandomForest,5,0.13771156462585035,0.12054187499175624,0.1111111111111111,0.0,1.0,6125,50,5
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,SNN-FS,5,0.11616352445740201,0.1201539982829321,0.1111111111111111,0.0,1.0,6125,50,5
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,Boruta,5,0.09302701652089407,0.10505070116699523,0.1111111111111111,0.0,1.0,6125,50,5
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,LLSS,10,0.30342105377194784,0.15180650935749854,0.3,0.0,1.0,6125,50,5
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,LongGroupLasso,10,0.3013802113950721,0.13520258106202243,0.3,0.0,1.0,6125,50,5
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,mRMR,10,0.26460895487627023,0.13971108783588043,0.25,0.0,1.0,6125,50,5
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,StabilitySelection,10,0.2203463079242949,0.10946472632223736,0.18181818181818182,0.0,1.0,6125,50,5
GSE41849_MS,GSE41849 MS replication,GSE41849,classification,OutcomeSNN-FS,10,0.20749327749256985,0.1354517472706297,0.18181818181818182,0.0,1.0,6125,50,5
